index,year,oscars_held,category,name,film_title,character_name,honorary_statement,description,note,act_dir,winner_type
1272,1977,50,SHORT FILM (Animated),"Co Hoedeman, Producer",The Sand Castle,,,,,False,Single Winner
1273,1977,50,SHORT FILM (Live Action),"Beverly Shaffer and Yuki Yoshida, Producers",I'll Find a Way,,,,,False,Single Winner
1274,1977,50,SOUND,"Don MacDougall, Ray West, Bob Minkler, Derek Ball",Star Wars,,,,,False,Single Winner
1275,1977,50,SPECIAL ACHIEVEMENT AWARD,,,,"To Benjamin Burtt, Jr. for the creation of the alien, creature and robot voices featured in Star Wars.",,,False,Single Winner
1276,1977,50,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),Frank E. Warner,Close Encounters of the Third Kind,,,,,False,Single Winner
1277,1977,50,VISUAL EFFECTS,"John Stears, John Dykstra, Richard Edlund, Grant McCune, Robert Blalack",Star Wars,,,,,False,Single Winner
1278,1977,50,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),"Woody Allen, Marshall Brickman",Annie Hall,,,,,True,Single Winner
1279,1977,50,WRITING (Screenplay--based on material from another medium),Alvin Sargent,Julia,,,,,False,Single Winner
1280,1978,51,ACTOR IN A LEADING ROLE,Jon Voight,Coming Home,Luke Martin,,,,True,Single Winner
1281,1978,51,ACTOR IN A SUPPORTING ROLE,Christopher Walken,The Deer Hunter,Nick,,,,True,Single Winner
1282,1978,51,ACTRESS IN A LEADING ROLE,Jane Fonda,Coming Home,Sally Hyde,,,,True,Single Winner
1283,1978,51,ACTRESS IN A SUPPORTING ROLE,Maggie Smith,California Suite,Diana Barrie,,,,True,Single Winner
1284,1978,51,ART DIRECTION,"Art Direction:  Paul Sylbert, Edwin O'Donovan;  Set Decoration:  George Gaines",Heaven Can Wait,,,,,True,Single Winner
1285,1978,51,BEST PICTURE,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",The Deer Hunter,,,,,False,Single Winner
1286,1978,51,CINEMATOGRAPHY,Nestor Almendros,Days of Heaven,,,,,False,Single Winner
1287,1978,51,COSTUME DESIGN,Anthony Powell,Death on the Nile,,,,,False,Single Winner
1288,1978,51,DIRECTING,Michael Cimino,The Deer Hunter,,,,,True,Single Winner
1289,1978,51,DOCUMENTARY (Feature),"Arnold Shapiro, Producer",Scared Straight!,,,,,False,Single Winner
1290,1978,51,DOCUMENTARY (Short Subject),"Jacqueline Phillips Shedd and Ben Shedd, Producers",The Flight of the Gossamer Condor,,,,,False,Single Winner
1291,1978,51,FILM EDITING,Peter Zinner,The Deer Hunter,,,,,False,Single Winner
1292,1978,51,FOREIGN LANGUAGE FILM,France,Get Out Your Handkerchiefs,,,,,False,Single Winner
1293,1978,51,HONORARY AWARD,,,,To Walter Lantz for bringing joy and laughter to every part of the world through his unique animated motion pictures.,,,False,Single Winner
1294,1978,51,JEAN HERSHOLT HUMANITARIAN AWARD,Leo Jaffe,,,,,,False,Single Winner
1295,1978,51,MEDAL OF COMMENDATION,,,,To Linwood G. Dunn in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,,False,Single Winner
1296,1978,51,MUSIC (Adaptation Score),Joe Renzetti,The Buddy Holly Story,,,,,False,Single Winner
1297,1978,51,MUSIC (Original Score),Giorgio Moroder,Midnight Express,,,,,False,Single Winner
1298,1978,51,MUSIC (Original Song),Music and Lyrics by Paul Jabara,Thank God It's Friday,,,,,False,Single Winner
1299,1978,51,SCIENTIFIC OR TECHNICAL AWARD (Academy Award of Merit),,,,To EASTMAN KODAK COMPANY for the research and development of a Duplicating Color film for Motion Pictures.,,,False,Single Winner
1300,1978,51,SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award),,,,"To RAY M. DOLBY, IOAN R. ALLEN, DAVID P. ROBINSON, STEPHEN M. KATZ and PHILIP S. J. BOOLE of Dolby Laboratories, Incorporated, for the development and implementation of an improved Sound Recording and Reproducing System for Motion Picture Production and Exhibition.",,,False,Single Winner
1301,1978,51,SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award),,,,To KARL MACHER and GLENN M. BERGGREN of Isco Optische Werke for the development and introduction of the Cinelux-ULTRA Lens for 35mm Motion Picture Projection.,,,False,Single Winner
1302,1978,51,SHORT FILM (Animated),"Eunice Macaulay and John Weldon, Producers",Special Delivery,,,,,False,Single Winner
1303,1978,51,SHORT FILM (Live Action),"Taylor Hackford, Producer",Teenage Father,,,,,False,Single Winner
1304,1978,51,SOUND,"Richard Portman, William McCaughey, Aaron Rochin, Darin Knight",The Deer Hunter,,,,,False,Single Winner
1305,1978,51,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic",Superman,,,,,False,Single Winner
1306,1978,51,WRITING (Screenplay Based on Material from Another Medium),Oliver Stone,Midnight Express,,,,,False,Single Winner
1307,1978,51,WRITING (Screenplay Written Directly for the Screen),"Story by Nancy Dowd;  Screenplay by Waldo Salt, Robert C. Jones",Coming Home,,,,,True,Single Winner
1308,1979,52,ACTOR IN A LEADING ROLE,Dustin Hoffman,Kramer vs. Kramer,Ted Kramer,,,,True,Single Winner
1309,1979,52,ACTOR IN A SUPPORTING ROLE,Melvyn Douglas,Being There,Benjamin Rand,,,,True,Single Winner
1310,1979,52,ACTRESS IN A LEADING ROLE,Sally Field,Norma Rae,Norma Rae,,,,True,Single Winner
1311,1979,52,ACTRESS IN A SUPPORTING ROLE,Meryl Streep,Kramer vs. Kramer,Joanna Kramer,,,,True,Single Winner
1312,1979,52,ART DIRECTION,"Art Direction:  Philip Rosenberg, Tony Walton;  Set Decoration:  Edward Stewart, Gary Brink",All That Jazz,,,,,True,Single Winner
1313,1979,52,BEST PICTURE,"Stanley R. Jaffe, Producer",Kramer vs. Kramer,,,,,False,Single Winner
1314,1979,52,CINEMATOGRAPHY,Vittorio Storaro,Apocalypse Now,,,,,False,Single Winner
1315,1979,52,COSTUME DESIGN,Albert Wolsky,All That Jazz,,,,,False,Single Winner
1316,1979,52,DIRECTING,Robert Benton,Kramer vs. Kramer,,,,,True,Single Winner
1317,1979,52,DOCUMENTARY (Feature),"Ira Wohl, Producer",Best Boy,,,,,False,Single Winner
1318,1979,52,DOCUMENTARY (Short Subject),"Saul J. Turell, Producer",Paul Robeson: Tribute to an Artist,,,,,False,Single Winner
1319,1979,52,FILM EDITING,Alan Heim,All That Jazz,,,,,False,Single Winner
1320,1979,52,FOREIGN LANGUAGE FILM,Federal Republic of Germany,The Tin Drum,,,,,False,Single Winner
1321,1979,52,HONORARY AWARD,,,,To Alec Guinness for advancing the art of screen acting through a host of memorable and distinguished performances.,,,False,Single Winner
1322,1979,52,IRVING G. THALBERG MEMORIAL AWARD,Ray Stark,,,,,,False,Single Winner
1323,1979,52,JEAN HERSHOLT HUMANITARIAN AWARD,Robert Benjamin,,,,,,False,Single Winner
1324,1979,52,MEDAL OF COMMENDATION,,,,To John O. Aalberg in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,,,False,Single Winner
1325,1979,52,MUSIC (Original Score),Georges Delerue,A Little Romance,,,,,False,Single Winner
1326,1979,52,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Adaptation Score by Ralph Burns,All That Jazz,,,,,False,Single Winner
1327,1979,52,MUSIC (Original Song),Music by David Shire; Lyric by Norman Gimbel,Norma Rae,,,,,False,Single Winner
1328,1979,52,SCIENTIFIC OR TECHNICAL AWARD (Academy Award of Merit),,,,"To MARK SERRURIER for the progressive development of the Moviola from the 1924 invention of his father, Iwan Serrurier, to the present Series 20 sophisticated film editing equipment.",,,False,Single Winner
1329,1979,52,SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award),,,,"To NEIMAN-TILLAR ASSOCIATES for the creative development and to MINI-MICRO SYSTEMS, INCORPORATED, for the design and engineering of an Automated Computer-Controlled Editing Sound System (ACCESS) for motion picture post-production.",,,False,Single Winner
1330,1979,52,SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award),,,,"To MICHAEL V. CHEWEY, WALTER G. EGGERS and ALLEN HECHT of M-G-M Laboratories for the development of a Computer-controlled Paper Tape Programmer System and its applications in the motion picture laboratory.",,,False,Single Winner
1331,1979,52,SHORT FILM (Animated),"Derek Lamb, Producer",Every Child,,,,,False,Single Winner
1332,1979,52,SHORT FILM (Live Action),"Sarah Pillsbury and Ron Ellis, Producers",Board and Care,,,,,False,Single Winner
1333,1979,52,SOUND,"Walter Murch, Mark Berger, Richard Beggs, Nat Boxer",Apocalypse Now,,,,,False,Single Winner
1334,1979,52,SPECIAL ACHIEVEMENT AWARD (Sound Editing),Alan Splet,The Black Stallion,,,,,False,Single Winner
1335,1979,52,VISUAL EFFECTS,"H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling",Alien,,,,,False,Single Winner
1336,1979,52,WRITING (Screenplay Based on Material from Another Medium),Robert Benton,Kramer vs. Kramer,,,,,False,Single Winner
1337,1979,52,WRITING (Screenplay Written Directly for the Screen),Steve Tesich,Breaking Away,,,,,True,Single Winner
1338,1980,53,ACTOR IN A LEADING ROLE,Robert De Niro,Raging Bull,Jake LaMotta,,,,True,Single Winner
1339,1980,53,ACTOR IN A SUPPORTING ROLE,Timothy Hutton,Ordinary People,Conrad Jarrett,,,,True,Single Winner
1340,1980,53,ACTRESS IN A LEADING ROLE,Sissy Spacek,Coal Miner's Daughter,Loretta Lynn,,,,True,Single Winner
1341,1980,53,ACTRESS IN A SUPPORTING ROLE,Mary Steenburgen,Melvin and Howard,Lynda Dummar,,,,True,Single Winner
1342,1980,53,ART DIRECTION,"Art Direction:  Pierre Guffroy, Jack Stephens",Tess,,,,,True,Single Winner
1343,1980,53,BEST PICTURE,"Ronald L. Schwary, Producer",Ordinary People,,,,,False,Single Winner
1344,1980,53,CINEMATOGRAPHY,"Geoffrey Unsworth, Ghislain Cloquet",Tess,,,,,False,Single Winner
1345,1980,53,COSTUME DESIGN,Anthony Powell,Tess,,,,,False,Single Winner
1346,1980,53,DIRECTING,Robert Redford,Ordinary People,,,,,True,Single Winner
1347,1980,53,DOCUMENTARY (Feature),"Murray Lerner, Producer",From Mao to Mozart: Isaac Stern in China,,,,,False,Single Winner
1348,1980,53,DOCUMENTARY (Short Subject),"Roland Hallé and Peter W. Ladue, Producers",Karl Hess: Toward Liberty,,,,,False,Single Winner
1349,1980,53,FILM EDITING,Thelma Schoonmaker,Raging Bull,,,,,False,Single Winner
1350,1980,53,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,Moscow Does Not Believe in Tears,,,,,False,Single Winner
1351,1980,53,HONORARY AWARD,,,,"To Henry Fonda, the consummate actor, in recognition of his brilliant accomplishments and enduring contribution to the art of motion pictures.",,,False,Single Winner
1352,1980,53,MEDAL OF COMMENDATION,,,,"To Fred Hynes, in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.",,,False,Single Winner
1353,1980,53,MUSIC (Original Score),Michael Gore,Fame,,,,,False,Single Winner
1354,1980,53,MUSIC (Original Song),Music by Michael Gore; Lyric by Dean Pitchford,Fame,,,,,False,Single Winner
1355,1980,53,SCIENTIFIC OR TECHNICAL AWARD (Academy Award of Merit),,,,"To LINWOOD G. DUNN, CECIL D. LOVE and ACME TOOL AND MANUFACTURING COMPANY for the concept, engineering and development of the Acme-Dunn Optical Printer for motion picture special effects.",,,False,Single Winner
1356,1980,53,SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award),,,,"To JEAN-MARIE LAVALOU, ALAIN MASSERON and DAVID SAMUELSON of Samuelson Alga Cinema S.A. and Samuelson Film Service, Limited, for the engineering and development of the Louma Camera Crane and remote control system for motion picture production.",,,False,Single Winner
1357,1980,53,SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award),,,,"To CARTER EQUIPMENT COMPANY for the development of a continuous contact, total immersion, additive color motion picture printer.",,,False,Single Winner
1358,1980,53,SHORT FILM (Animated),"Ferenc Rofusz, Producer",The Fly,,,,,False,Single Winner
1359,1980,53,SHORT FILM (Dramatic Live Action),"Lloyd Phillips, Producer",The Dollar Bottom,,,,,False,Single Winner
1360,1980,53,SOUND,"Bill Varney, Steve Maslow, Gregg Landaker, Peter Sutton",The Empire Strikes Back,,,,,False,Single Winner
1361,1980,53,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Brian Johnson, Richard Edlund, Dennis Muren, Bruce Nicholson",The Empire Strikes Back,,,,,False,Single Winner
1362,1980,53,WRITING (Screenplay Based on Material from Another Medium),Alvin Sargent,Ordinary People,,,,,False,Single Winner
1363,1980,53,WRITING (Screenplay Written Directly for the Screen),Bo Goldman,Melvin and Howard,,,,,True,Single Winner
1364,1981,54,ACTOR IN A LEADING ROLE,Henry Fonda,On Golden Pond,"Norman Thayer, Jr.",,,,True,Single Winner
1365,1981,54,ACTOR IN A SUPPORTING ROLE,John Gielgud,Arthur,Hobson,,,,True,Single Winner
1366,1981,54,ACTRESS IN A LEADING ROLE,Katharine Hepburn,On Golden Pond,Ethel Thayer,,,,True,Single Winner
1367,1981,54,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,Reds,Emma Goldman,,,,True,Single Winner
1368,1981,54,ART DIRECTION,"Art Direction:  Norman Reynolds, Leslie Dilley;  Set Decoration:  Michael Ford",Raiders of the Lost Ark,,,,,True,Single Winner
1369,1981,54,BEST PICTURE,"David Puttnam, Producer",Chariots of Fire,,,,,False,Single Winner
1370,1981,54,CINEMATOGRAPHY,Vittorio Storaro,Reds,,,,,False,Single Winner
1371,1981,54,COSTUME DESIGN,Milena Canonero,Chariots of Fire,,,,,False,Single Winner
1372,1981,54,DIRECTING,Warren Beatty,Reds,,,,,True,Single Winner
1373,1981,54,DOCUMENTARY (Feature),"Arnold Schwartzman and Rabbi Marvin Hier, Producers",Genocide,,,,,False,Single Winner
1374,1981,54,DOCUMENTARY (Short Subject),"Nigel Noble, Producer",Close Harmony,,,,,False,Single Winner
1375,1981,54,FILM EDITING,Michael Kahn,Raiders of the Lost Ark,,,,,False,Single Winner
1376,1981,54,FOREIGN LANGUAGE FILM,Hungary,Mephisto,,,,,False,Single Winner
1377,1981,54,GORDON E. SAWYER AWARD,,,,Joseph B. Walker,,,False,Single Winner
1378,1981,54,HONORARY AWARD,,,,To Barbara Stanwyck for superlative creativity and unique contribution to the art of screen acting.,,,False,Single Winner
1379,1981,54,IRVING G. THALBERG MEMORIAL AWARD,Albert R. Broccoli,,,,,,False,Single Winner
1380,1981,54,JEAN HERSHOLT HUMANITARIAN AWARD,Danny Kaye,,,,,,False,Single Winner
1381,1981,54,MAKEUP,Rick Baker,An American Werewolf in London,,,,,False,Single Winner
1382,1981,54,MUSIC (Original Score),Vangelis,Chariots of Fire,,,,,False,Single Winner
1383,1981,54,MUSIC (Original Song),"Music and Lyric by Burt Bacharach, Carole Bayer Sager, Christopher Cross and Peter Allen",Arthur,,,,,False,Single Winner
1384,1981,54,SCIENTIFIC OR TECHNICAL AWARD (Academy Award of Merit),,,,"To FUJI PHOTO FILM COMPANY, LTD. for the research, development and introduction of a new Ultra-high-speed color negative film for motion pictures.",,,False,Single Winner
1385,1981,54,SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award),,,,To NELSON TYLER for the progressive development and improvement of the Tyler Helicopter motion picture camera platform.,,,False,Single Winner
1386,1981,54,SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award),,,,To HAL LANDAKER for the concept and to ALAN D. LANDAKER for the engineering of the Burbank Studios' Production Sound Department 24-frame color video system.,,,False,Single Winner
1387,1981,54,SHORT FILM (Animated),"Frédéric Back, Producer",Crac,,,,,False,Single Winner
1388,1981,54,SHORT FILM (Live Action),"Paul Kemp and Shelley Levinson, Producers",Violet,,,,,False,Single Winner
1389,1981,54,SOUND,"Bill Varney, Steve Maslow, Gregg Landaker, Roy Charman",Raiders of the Lost Ark,,,,,False,Single Winner
1390,1981,54,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),"Ben Burtt, Richard L. Anderson",Raiders of the Lost Ark,,,,,False,Single Winner
1391,1981,54,VISUAL EFFECTS,"Richard Edlund, Kit West, Bruce Nicholson, Joe Johnston",Raiders of the Lost Ark,,,,,False,Single Winner
1392,1981,54,WRITING (Screenplay Based on Material from Another Medium),Ernest Thompson,On Golden Pond,,,,,False,Single Winner
1393,1981,54,WRITING (Screenplay Written Directly for the Screen),Colin Welland,Chariots of Fire,,,,,True,Single Winner
1394,1982,55,ACTOR IN A LEADING ROLE,Ben Kingsley,Gandhi,Mahatma Gandhi,,,,True,Single Winner
1395,1982,55,ACTOR IN A SUPPORTING ROLE,"Louis Gossett, Jr.",An Officer and a Gentleman,Sgt. Emil Foley,,,,True,Single Winner
1396,1982,55,ACTRESS IN A LEADING ROLE,Meryl Streep,Sophie's Choice,Sophie,,,,True,Single Winner
1397,1982,55,ACTRESS IN A SUPPORTING ROLE,Jessica Lange,Tootsie,Julie Nichols,,,,True,Single Winner
1398,1982,55,ART DIRECTION,"Art Direction:  Stuart Craig, Bob Laing;  Set Decoration:  Michael Seirton",Gandhi,,,,,True,Single Winner
1399,1982,55,BEST PICTURE,"Richard Attenborough, Producer",Gandhi,,,,,False,Single Winner
1400,1982,55,CINEMATOGRAPHY,"Billy Williams, Ronnie Taylor",Gandhi,,,,,False,Single Winner
1401,1982,55,COSTUME DESIGN,"John Mollo, Bhanu Athaiya",Gandhi,,,,,False,Single Winner
1402,1982,55,DIRECTING,Richard Attenborough,Gandhi,,,,,True,Single Winner
1403,1982,55,DOCUMENTARY (Feature),"John Zaritsky, Producer",Just Another Missing Kid,,,,,False,Single Winner
1404,1982,55,DOCUMENTARY (Short Subject),"Edward Le Lorrain and Terri Nash, Producers",If You Love This Planet,,,,,False,Single Winner
1405,1982,55,FILM EDITING,John Bloom,Gandhi,,,,,False,Single Winner
1406,1982,55,FOREIGN LANGUAGE FILM,Spain,Volver a Empezar ('To Begin Again'),,,,,False,Single Winner
1407,1982,55,GORDON E. SAWYER AWARD,,,,John O. Aalberg,,,False,Single Winner
1408,1982,55,HONORARY AWARD,,,,"To Mickey Rooney, in recognition of his 60 years of versatility in a variety of memorable film performances.",,,False,Single Winner
1409,1982,55,JEAN HERSHOLT HUMANITARIAN AWARD,Walter Mirisch,,,,,,False,Single Winner
1410,1982,55,MAKEUP,"Sarah Monzani, Michèle Burke",Quest for Fire,,,,,False,Single Winner
1411,1982,55,MUSIC (Original Score),John Williams,E.T. The Extra-Terrestrial,,,,,False,Single Winner
1412,1982,55,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Song Score by Henry Mancini and Leslie Bricusse; Adaptation Score by Henry Mancini,Victor/Victoria,,,,,False,Single Winner
1413,1982,55,MUSIC (Original Song),Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings,An Officer and a Gentleman,,,,,False,Single Winner
1414,1982,55,SCIENTIFIC OR TECHNICAL AWARD (Academy Award of Merit),,,,"To AUGUST ARNOLD and ERICH KAESTNER of Arnold & Richter, GmbH, for the concept and engineering of the first operational 35mm, hand-held, spinning-mirror reflex, motion picture camera.",,,False,Single Winner
1415,1982,55,SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award),,,,"To COLIN F. MOSSMAN and THE RESEARCH AND DEVELOPMENT GROUP OF RANK FILM LABORATORIES, LONDON, for the engineering and implementation of a 4,000 meter printing system for motion picture laboratories.",,,False,Single Winner
1416,1982,55,SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award),,,,"To RICHARD W. DEATS for the design and manufacture of the ""Little Big Crane"" for motion picture production.",,,False,Single Winner
1417,1982,55,SHORT FILM (Animated),"Zbigniew Rybczynski, Producer",Tango,,,,,False,Single Winner
1418,1982,55,SHORT FILM (Live Action),"Christine Oestreicher, Producer",A Shocking Accident,,,,,False,Single Winner
1419,1982,55,SOUND,"Robert Knudson, Robert Glass, Don Digirolamo, Gene Cantamessa",E.T. The Extra-Terrestrial,,,,,False,Single Winner
1420,1982,55,SOUND EFFECTS EDITING,"Charles L. Campbell, Ben Burtt",E.T. The Extra-Terrestrial,,,,,False,Single Winner
1421,1982,55,VISUAL EFFECTS,"Carlo Rambaldi, Dennis Muren, Kenneth F. Smith",E.T. The Extra-Terrestrial,,,,,False,Single Winner
1422,1982,55,WRITING (Screenplay Based on Material from Another Medium),"Costa-Gavras, Donald Stewart",Missing,,,,,False,Single Winner
1423,1982,55,WRITING (Screenplay Written Directly for the Screen),John Briley,Gandhi,,,,,True,Single Winner
1424,1983,56,ACTOR IN A LEADING ROLE,Robert Duvall,Tender Mercies,Mac Sledge,,,,True,Single Winner
1425,1983,56,ACTOR IN A SUPPORTING ROLE,Jack Nicholson,Terms of Endearment,Garrett Breedlove,,,,True,Single Winner
1426,1983,56,ACTRESS IN A LEADING ROLE,Shirley MacLaine,Terms of Endearment,Aurora Greenway,,,,True,Single Winner
1427,1983,56,ACTRESS IN A SUPPORTING ROLE,Linda Hunt,The Year of Living Dangerously,Billy Kwan,,,,True,Single Winner
1428,1983,56,ART DIRECTION,Anna Asp,Fanny & Alexander,,,,,True,Single Winner
1429,1983,56,BEST PICTURE,"James L. Brooks, Producer",Terms of Endearment,,,,,False,Single Winner
1430,1983,56,CINEMATOGRAPHY,Sven Nykvist,Fanny & Alexander,,,,,False,Single Winner
1431,1983,56,COSTUME DESIGN,Marik Vos,Fanny & Alexander,,,,,False,Single Winner
1432,1983,56,DIRECTING,James L. Brooks,Terms of Endearment,,,,,True,Single Winner
1433,1983,56,DOCUMENTARY (Feature),"Emile Ardolino, Producer",He Makes Me Feel Like Dancin',,,,,False,Single Winner
1434,1983,56,DOCUMENTARY (Short Subject),"Cynthia Scott and Adam Symansky, Producers",Flamenco at 5:15,,,,,False,Single Winner
1435,1983,56,FILM EDITING,"Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf",The Right Stuff,,,,,False,Single Winner
1436,1983,56,FOREIGN LANGUAGE FILM,Sweden,Fanny & Alexander,,,,,False,Single Winner
1437,1983,56,GORDON E. SAWYER AWARD,,,,Dr. John G. Frayne,,,False,Single Winner
1438,1983,56,HONORARY AWARD,,,,"To Hal Roach, in recognition of his unparalleled record of distinguished contributions to the motion picture art form.",,,False,Single Winner
1439,1983,56,JEAN HERSHOLT HUMANITARIAN AWARD,M. J. Frankovich,,,,,,False,Single Winner
1440,1983,56,MUSIC (Original Score),Bill Conti,The Right Stuff,,,,,False,Single Winner
1441,1983,56,MUSIC (Original Song Score or Adaptation Score),"Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman",Yentl,,,,,False,Single Winner
1442,1983,56,MUSIC (Original Song),Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara,Flashdance,,,,,False,Single Winner
1443,1983,56,SCIENTIFIC OR TECHNICAL AWARD (Academy Award of Merit),,,,To DR. KURT LARCHE of OSRAM GmbH for the research and development of xenon short-arc discharge lamps for motion picture projection.,,,False,Single Winner
1444,1983,56,SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award),,,,"To JONATHAN ERLAND and ROGER DORNEY of Apogee, Incorporated, for the engineering and development of a reverse bluescreen traveling matte process for special effects photography.",,,False,Single Winner
1445,1983,56,SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award),,,,"To WILLIAM G. KROKAUGGER of Mole-Richardson Company for the design and engineering of a portable, 12,000 watt, lighting-control dimmer for use in motion picture production.",,,False,Single Winner
1446,1983,56,SHORT FILM (Animated),"Jimmy Picker, Producer",Sundae in New York,,,,,False,Single Winner
1447,1983,56,SHORT FILM (Live Action),"Janice L. Platt, Producer",Boys and Girls,,,,,False,Single Winner
1448,1983,56,SOUND,"Mark Berger, Tom Scott, Randy Thom, David MacMillan",The Right Stuff,,,,,False,Single Winner
1449,1983,56,SOUND EFFECTS EDITING,Jay Boekelheide,The Right Stuff,,,,,False,Single Winner
1450,1983,56,SPECIAL ACHIEVEMENT AWARD (Visual Effects),"Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett",Return of the Jedi,,,,,False,Single Winner
1451,1983,56,WRITING (Screenplay Based on Material from Another Medium),James L. Brooks,Terms of Endearment,,,,,False,Single Winner
1452,1983,56,WRITING (Screenplay Written Directly for the Screen),Horton Foote,Tender Mercies,,,,,True,Single Winner
1453,1984,57,ACTOR IN A LEADING ROLE,F. Murray Abraham,Amadeus,Antonio Salieri,,,,True,Single Winner
1454,1984,57,ACTOR IN A SUPPORTING ROLE,Haing S. Ngor,The Killing Fields,Dith Pran,,,,True,Single Winner
1455,1984,57,ACTRESS IN A LEADING ROLE,Sally Field,Places in the Heart,Edna Spalding,,,,True,Single Winner
1456,1984,57,ACTRESS IN A SUPPORTING ROLE,Peggy Ashcroft,A Passage to India,Mrs. Moore,,,,True,Single Winner
1457,1984,57,ART DIRECTION,Art Direction:  Patrizia Von Brandenstein;  Set Decoration:  Karel Cerny,Amadeus,,,,,True,Single Winner
1458,1984,57,BEST PICTURE,"Saul Zaentz, Producer",Amadeus,,,,,False,Single Winner
1459,1984,57,CINEMATOGRAPHY,Chris Menges,The Killing Fields,,,,,False,Single Winner
1460,1984,57,COSTUME DESIGN,Theodor Pistek,Amadeus,,,,,False,Single Winner
1461,1984,57,DIRECTING,Milos Forman,Amadeus,,,,,True,Single Winner
1462,1984,57,DOCUMENTARY (Feature),"Robert Epstein and Richard Schmiechen, Producers",The Times of Harvey Milk,,,,,False,Single Winner
1463,1984,57,DOCUMENTARY (Short Subject),"Marjorie Hunt and Paul Wagner, Producers",The Stone Carvers,,,,,False,Single Winner
1464,1984,57,FILM EDITING,Jim Clark,The Killing Fields,,,,,False,Single Winner
1465,1984,57,FOREIGN LANGUAGE FILM,Switzerland,Dangerous Moves,,,,,False,Single Winner
1466,1984,57,GORDON E. SAWYER AWARD,,,,Linwood G. Dunn,,,False,Single Winner
1467,1984,57,HONORARY AWARD,,,,"To James Stewart, for his fifty years of memorable performances.  For his high ideals both on and off the screen.  With the respect and affection of his colleagues.",,,False,Single Winner
1468,1984,57,JEAN HERSHOLT HUMANITARIAN AWARD,David L. Wolper,,,,,,False,Single Winner
1469,1984,57,MAKEUP,"Paul LeBlanc, Dick Smith",Amadeus,,,,,False,Single Winner
1470,1984,57,MUSIC (Original Score),Maurice Jarre,A Passage to India,,,,,False,Single Winner
1471,1984,57,MUSIC (Original Song Score),Prince,Purple Rain,,,,,False,Single Winner
1472,1984,57,MUSIC (Original Song),Music and Lyric by Stevie Wonder,The Woman in Red,,,,,False,Single Winner
1473,1984,57,SCIENTIFIC OR TECHNICAL AWARD (Scientific and Engineering Award),,,,"To DONALD A. ANDERSON and DIANA REINERS of 3M Company for the development of ""Cinetrak"" Magnetic Film #350/351 for motion picture sound recording.",,,False,Single Winner
1474,1984,57,SCIENTIFIC OR TECHNICAL AWARD (Technical Achievement Award),,,,"To NAT TIFFEN of Tiffen Manufacturing Corporation for the production of high-quality, durable, laminated color filters for motion picture photography.",,,False,Single Winner
1475,1984,57,SHORT FILM (Animated),"Jon Minnis, Producer",Charade,,,,,False,Single Winner
1476,1984,57,SHORT FILM (Live Action),"Mike Hoover, Producer",Up,,,,,False,Single Winner
1477,1984,57,SOUND,"Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman",Amadeus,,,,,False,Single Winner
1478,1984,57,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),Kay Rose,The River,,,,,False,Single Winner
1479,1984,57,VISUAL EFFECTS,"Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs",Indiana Jones and the Temple of Doom,,,,,False,Single Winner
